,time,date,month.year,site,transect.number,meter,side,Acerv,WBDint,WBD,Timepoint,Timepoint1
1,Summer15,6/23/2015,15-Jun,HS,1,0,R,1,0,0,T1,T1: Summer15
2,Summer15,6/23/2015,15-Jun,HS,1,1,R,1,0,0,T1,T1: Summer15
3,Summer15,6/23/2015,15-Jun,HS,1,2,R,1,0,0,T1,T1: Summer15
4,Summer15,6/23/2015,15-Jun,HS,1,3,R,1,2,1,T1,T1: Summer15
5,Summer15,6/23/2015,15-Jun,HS,1,4,R,1,2,1,T1,T1: Summer15
6,Summer15,6/23/2015,15-Jun,HS,1,5,R,1,2,1,T1,T1: Summer15
7,Summer15,6/23/2015,15-Jun,HS,1,6,R,1,0,0,T1,T1: Summer15
8,Summer15,6/23/2015,15-Jun,HS,1,7,R,1,2,1,T1,T1: Summer15
9,Summer15,6/23/2015,15-Jun,HS,1,8,R,1,1,1,T1,T1: Summer15
10,Summer15,6/23/2015,15-Jun,HS,1,9,R,1,3,1,T1,T1: Summer15
11,Summer15,6/23/2015,15-Jun,HS,1,10,R,1,1,1,T1,T1: Summer15
12,Summer15,6/23/2015,15-Jun,HS,1,11,R,1,0,0,T1,T1: Summer15
13,Summer15,6/23/2015,15-Jun,HS,1,12,R,1,4,1,T1,T1: Summer15
14,Summer15,6/23/2015,15-Jun,HS,1,13,R,1,0,0,T1,T1: Summer15
15,Summer15,6/23/2015,15-Jun,HS,1,14,R,1,0,0,T1,T1: Summer15
16,Summer15,6/23/2015,15-Jun,HS,1,15,R,1,2,1,T1,T1: Summer15
17,Summer15,6/23/2015,15-Jun,HS,1,16,R,1,0,0,T1,T1: Summer15
18,Summer15,6/23/2015,15-Jun,HS,1,17,R,1,0,0,T1,T1: Summer15
19,Summer15,6/23/2015,15-Jun,HS,1,18,R,1,0,0,T1,T1: Summer15
20,Summer15,6/23/2015,15-Jun,HS,1,19,R,1,0,0,T1,T1: Summer15
21,Summer15,6/23/2015,15-Jun,HS,1,20,R,1,1,1,T1,T1: Summer15
22,Summer15,6/23/2015,15-Jun,HS,1,21,R,1,1,1,T1,T1: Summer15
23,Summer15,6/23/2015,15-Jun,HS,1,22,R,1,0,0,T1,T1: Summer15
24,Summer15,6/23/2015,15-Jun,HS,1,23,R,1,2,1,T1,T1: Summer15
25,Summer15,6/23/2015,15-Jun,HS,1,24,R,1,0,0,T1,T1: Summer15
26,Summer15,6/23/2015,15-Jun,HS,1,25,R,1,5,1,T1,T1: Summer15
