"","ID","Block","genotype","antibiotics","exposure","Condition","time","outcome"
"1","2_Black_no_antibiotics_healthy",2,"Black","no_antibiotics","healthy","H",21,0
"2","2_Blue_no_antibiotics_healthy",2,"Blue","no_antibiotics","healthy","H",21,0
"3","2_Green_no_antibiotics_healthy",2,"Green","no_antibiotics","healthy","WBD",21,0
"4","2_Grey_no_antibiotics_healthy",2,"Grey","no_antibiotics","healthy","H",21,0
"5","2_Neon_no_antibiotics_healthy",2,"Neon","no_antibiotics","healthy","H",21,0
"6","2_Orange_no_antibiotics_healthy",2,"Orange","no_antibiotics","healthy","H",21,0
"7","2_Pink_no_antibiotics_healthy",2,"Pink","no_antibiotics","healthy","H",21,0
"8","2_Purple_no_antibiotics_healthy",2,"Purple","no_antibiotics","healthy","H",21,0
"9","2_Red_no_antibiotics_healthy",2,"Red","no_antibiotics","healthy","H",21,0
"10","2_Yellow_no_antibiotics_healthy",2,"Yellow","no_antibiotics","healthy","H",21,0
"11","3_Black_no_antibiotics_healthy",3,"Black","no_antibiotics","healthy","H",21,0
"12","3_Blue_no_antibiotics_healthy",3,"Blue","no_antibiotics","healthy","H",21,0
"13","3_Grey_no_antibiotics_healthy",3,"Grey","no_antibiotics","healthy","H",21,0
"14","3_Neon_no_antibiotics_healthy",3,"Neon","no_antibiotics","healthy","H",21,0
"15","3_Pink_no_antibiotics_healthy",3,"Pink","no_antibiotics","healthy","H",21,0
"16","3_Purple_no_antibiotics_healthy",3,"Purple","no_antibiotics","healthy","WBD",21,0
"17","3_Red_no_antibiotics_healthy",3,"Red","no_antibiotics","healthy","H",21,0
"18","4_Black_no_antibiotics_healthy",4,"Black","no_antibiotics","healthy","H",21,0
"19","4_Blue_no_antibiotics_healthy",4,"Blue","no_antibiotics","healthy","H",21,0
"20","4_Green_no_antibiotics_healthy",4,"Green","no_antibiotics","healthy","H",21,0
"21","4_Grey_no_antibiotics_healthy",4,"Grey","no_antibiotics","healthy","H",21,0
"22","4_Neon_no_antibiotics_healthy",4,"Neon","no_antibiotics","healthy","H",21,0
"23","4_Orange_no_antibiotics_healthy",4,"Orange","no_antibiotics","healthy","H",21,0
"24","4_Pink_no_antibiotics_healthy",4,"Pink","no_antibiotics","healthy","H",21,0
"25","4_Purple_no_antibiotics_healthy",4,"Purple","no_antibiotics","healthy","H",21,0
"26","4_Red_no_antibiotics_healthy",4,"Red","no_antibiotics","healthy","H",21,0
"27","4_Yellow_no_antibiotics_healthy",4,"Yellow","no_antibiotics","healthy","H",21,0
"28","5_Black_no_antibiotics_healthy",5,"Black","no_antibiotics","healthy","H",21,0
"29","5_Blue_no_antibiotics_healthy",5,"Blue","no_antibiotics","healthy","H",21,0
"30","5_Green_no_antibiotics_healthy",5,"Green","no_antibiotics","healthy","H",21,0
"31","5_Grey_no_antibiotics_healthy",5,"Grey","no_antibiotics","healthy","H",21,0
"32","5_Neon_no_antibiotics_healthy",5,"Neon","no_antibiotics","healthy","H",21,0
"33","5_Orange_no_antibiotics_healthy",5,"Orange","no_antibiotics","healthy","H",21,0
"34","5_Pink_no_antibiotics_healthy",5,"Pink","no_antibiotics","healthy","H",21,0
"35","5_Purple_no_antibiotics_healthy",5,"Purple","no_antibiotics","healthy","H",21,0
"36","5_Red_no_antibiotics_healthy",5,"Red","no_antibiotics","healthy","H",21,0
"37","5_Yellow_no_antibiotics_healthy",5,"Yellow","no_antibiotics","healthy","H",21,0
"38","1_Black_no_antibiotics_disease",1,"Black","no_antibiotics","disease","H",21,0
"39","1_Blue_no_antibiotics_disease",1,"Blue","no_antibiotics","disease","H",21,0
"40","1_Green_no_antibiotics_disease",1,"Green","no_antibiotics","disease","WBD",21,0
"41","1_Grey_no_antibiotics_disease",1,"Grey","no_antibiotics","disease","WBD",21,0
"42","1_Neon_no_antibiotics_disease",1,"Neon","no_antibiotics","disease","WBD",21,0
"43","1_Orange_no_antibiotics_disease",1,"Orange","no_antibiotics","disease","WBD",21,0
"44","1_Pink_no_antibiotics_disease",1,"Pink","no_antibiotics","disease","H",21,0
"45","1_Purple_no_antibiotics_disease",1,"Purple","no_antibiotics","disease","H",21,0
"46","1_Red_no_antibiotics_disease",1,"Red","no_antibiotics","disease","WBD",21,0
"47","1_Yellow_no_antibiotics_disease",1,"Yellow","no_antibiotics","disease","WBD",21,0
"48","2_Black_no_antibiotics_disease",2,"Black","no_antibiotics","disease","H",21,0
"49","2_Blue_no_antibiotics_disease",2,"Blue","no_antibiotics","disease","H",21,0
"50","2_Green_no_antibiotics_disease",2,"Green","no_antibiotics","disease","H",21,0
"51","2_Grey_no_antibiotics_disease",2,"Grey","no_antibiotics","disease","H",21,0
"52","2_Neon_no_antibiotics_disease",2,"Neon","no_antibiotics","disease","H",21,0
"53","2_Orange_no_antibiotics_disease",2,"Orange","no_antibiotics","disease","H",21,0
"54","2_Pink_no_antibiotics_disease",2,"Pink","no_antibiotics","disease","H",21,0
"55","2_Purple_no_antibiotics_disease",2,"Purple","no_antibiotics","disease","H",21,0
"56","2_Red_no_antibiotics_disease",2,"Red","no_antibiotics","disease","WBD",21,0
"57","2_Yellow_no_antibiotics_disease",2,"Yellow","no_antibiotics","disease","WBD",21,1
"58","3_Black_no_antibiotics_disease",3,"Black","no_antibiotics","disease","H",21,0
"59","3_Blue_no_antibiotics_disease",3,"Blue","no_antibiotics","disease","H",21,0
"60","3_Green_no_antibiotics_disease",3,"Green","no_antibiotics","disease","H",21,0
"61","3_Grey_no_antibiotics_disease",3,"Grey","no_antibiotics","disease","H",21,0
"62","3_Neon_no_antibiotics_disease",3,"Neon","no_antibiotics","disease","H",21,0
