Family,Genus,ID,Median Rank,FDR,2016_W,2016_S,2017_W,2017_S,Before,After_Disease,After_Healthy
Arcobacteraceae,Malaciobacter,ASV7,4.5,0.022,4.6 ± 0.66 *,7.9 ± 0.68 *,6.9 ± 0.69 *,4.7 ± 0.63 *,0.1 ± 0.46,0 ± 0.37,-0.5 ± 0.37
Rhodobacteraceae,,ASV15,16.5,0.028,1 ± 0.54,4.6 ± 0.56 *,5.2 ± 0.56 *,1.1 ± 0.51 *,0.1 ± 0.62,-0.2 ± 0.47,0.2 ± 0.48
Sphingomonadaceae,,ASV40,11,0.022,-4.3 ± 0.45 *,-3.1 ± 0.47 *,-1.6 ± 0.47 *,-4.3 ± 0.43 *,2.7 ± 0.98 *,0.5 ± 0.8,-0.9 ± 0.81
Colwelliaceae,Thalassotalea,ASV30,6,0.022,3.9 ± 0.54 *,4.6 ± 0.56 *,3.7 ± 0.56 *,4.6 ± 0.51 *,-0.4 ± 1.02,1.2 ± 0.76,-0.1 ± 0.78
Pseudoalteromonadaceae,Algicola,ASV49,13.5,0.028,2.4 ± 0.4 *,0 ± 0.41,1.5 ± 0.41 *,1.3 ± 0.38 *,0 ± 0.49,0.5 ± 0.36,0.3 ± 0.37
Francisellaceae,[Caedibacter] taeniospiralis group,ASV25,1,0.022,6.7 ± 0.51 *,3.9 ± 0.52 *,5.7 ± 0.52 *,4.7 ± 0.48 *,-0.4 ± 1.08,3.3 ± 0.81 *,0.3 ± 0.83
Endozoicomonadaceae,Endozoicomonas,ASV108,9,0.022,1.8 ± 0.39 *,3.4 ± 0.4 *,2.8 ± 0.41 *,3 ± 0.37 *,0.5 ± 0.31,0.2 ± 0.24,0.1 ± 0.24
Endozoicomonadaceae,Endozoicomonas,ASV700,10,0.022,2.1 ± 0.26 *,0.4 ± 0.27,1.3 ± 0.27 *,0.9 ± 0.25 *,0.2 ± 0.2,0.2 ± 0.15,0 ± 0.15
Endozoicomonadaceae,Endozoicomonas,ASV322,15.5,0.028,2.5 ± 0.31 *,2 ± 0.32 *,1.4 ± 0.32 *,2 ± 0.29 *,0.9 ± 0.37 *,0.2 ± 0.29,-0.2 ± 0.29
Endozoicomonadaceae,Endozoicomonas,ASV361,18,0.028,1.7 ± 0.32 *,2.7 ± 0.33 *,1.5 ± 0.34 *,2.3 ± 0.31 *,0 ± 0.17,0.4 ± 0.13 *,0 ± 0.13
Saccharospirillaceae,Thalassolituus,ASV26,4.5,0.022,4 ± 0.51 *,5.8 ± 0.53 *,3 ± 0.53 *,5.2 ± 0.48 *,-0.2 ± 0.86,1.5 ± 0.64 *,-0.3 ± 0.66
Vibrionaceae,Aliivibrio,ASV8,3,0.022,4.9 ± 0.6 *,9.6 ± 0.62 *,5.7 ± 0.62 *,7.2 ± 0.57 *,3.3 ± 1.43 *,2.4 ± 1.07 *,0.4 ± 1.1
