ID,Median Rank,Field,After Before,Exposure,Disease,DDvDH,likely_type,Order,Family,Species
ASV25,1,5.2 ± 0.25,6.3 ± 1.06,4 ± 0.73,5.9 ± 0.93,5.2 ± 0.96,Pathogen,Thiotrichales,Fastidiosibacteraceae,Cysteiniphilum litorale
ASV8,3,6.9 ± 0.3,4.8 ± 1.66,3.1 ± 1.11,4.7 ± 1.49,4.2 ± 1.56,Pathogen,Vibrionales,Vibrionaceae,Vibrio sp.
ASV7,4.5,6 ± 0.33,n/s,n/s,n/s,n/s,-,Campylobacterales,Arcobacteraceae,
ASV26,4.5,4.5 ± 0.26,3.4 ± 1.09,2.3 ± 0.81,2.6 ± 0.92,n/s,Opportunist,Oceanospirillales,Oceanospirillaceae,
ASV30,6,4.2 ± 0.27,3.9 ± 1.32,3.4 ± 1,2.9 ± 1.09,n/s,Opportunist,Alteromonadales,Colwelliaceae,Thalassotalea sp.
ASV108,9,2.7 ± 0.2,n/s,n/s,0.7 ± 0.29,0.7 ± 0.3,-,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas sp.
ASV700,10,n/c,-,-,-,-,-,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas atrinae
ASV40,11,-3.3 ± 0.23,n/s,n/s,n/s,n/s,-,Sphingomonadales,Erythrobacteraceae,Qipengyuania sp.
ASV49,13.5,n/c,-,-,-,-,-,Alteromonadales,Pseudoalteromonadaceae,Psychrosphaera sp.
ASV322,15.5,1.9 ± 0.16,n/s,n/s,n/s,n/s,-,Rhodobacterales,Roseobacteraceae,Shimia thalassica
ASV15,16.5,n/c,-,-,-,-,-,Rhodobacterales,,
ASV361,18,2.1 ± 0.16,0.4 ± 0.17,0.3 ± 0.1,0.4 ± 0.17,n/s,Opportunist,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas atrinae
ASV1057,18.5,0.8 ± 0.12,n/s,n/s,n/s,n/s,-,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas atrinae
ASV59,26,2.9 ± 0.25,n/s,n/s,n/s,n/s,-,Campylobacterales,Arcobacteraceae,
ASV179,28,n/c,-,-,-,-,-,Propionibacteriales,Propionibacteriaceae,Cutibacterium acnes
ASV38,28,2.8 ± 0.24,2.2 ± 0.59,1.3 ± 0.42,1.9 ± 0.51,1.6 ± 0.52,Pathogen,Oceanospirillales,Oceanospirillaceae,Neptuniibacter sp.
ASV169,29,n/c,-,-,-,-,-,Rhodobacterales,,
ASV51,31.5,2.1 ± 0.21,0.5 ± 0.2,0.3 ± 0.12,0.4 ± 0.19,n/s,Opportunist,Oceanospirillales,Oceanospirillaceae,Neptuniibacter sp.
ASV152,32,n/c,-,-,-,-,-,Sphingomonadales,Erythrobacteraceae,
ASV79,37.5,n/c,-,-,-,-,-,Alteromonadales,Shewanellaceae,Shewanella sp.
ASV137,39,n/c,-,-,-,-,-,Alteromonadales,Colwelliaceae,Thalassotalea sp.
ASV131,45.5,n/c,-,-,-,-,-,Phycisphaerales,Phycisphaeraceae,Urania-1B-19 marine sediment group sp.
ASV143,46.5,n/c,-,-,-,-,-,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas profundi
ASV780,50.5,n/c,-,-,-,-,-,Flavobacteriales,Flavobacteriaceae,
