asv_id,consistent,Disease Associated,Healthy Associated
ASV7,TRUE,TRUE,FALSE
ASV30,TRUE,TRUE,FALSE
ASV38,TRUE,TRUE,FALSE
ASV51,TRUE,TRUE,FALSE
ASV59,TRUE,TRUE,FALSE
ASV79,FALSE,FALSE,TRUE
ASV143,FALSE,FALSE,TRUE
ASV322,TRUE,TRUE,FALSE
ASV1057,TRUE,TRUE,FALSE
ASV8,TRUE,TRUE,FALSE
ASV137,FALSE,TRUE,FALSE
ASV169,FALSE,TRUE,FALSE
ASV179,FALSE,FALSE,TRUE
ASV361,TRUE,TRUE,FALSE
ASV700,FALSE,TRUE,FALSE
ASV15,FALSE,TRUE,FALSE
ASV25,TRUE,TRUE,FALSE
ASV40,TRUE,FALSE,TRUE
ASV49,FALSE,TRUE,FALSE
ASV780,FALSE,TRUE,FALSE
ASV26,TRUE,TRUE,FALSE
ASV108,TRUE,TRUE,FALSE
ASV131,FALSE,TRUE,FALSE
ASV152,FALSE,FALSE,TRUE
